,Country,Month,Active
0,China,2020-01,9591
0,Japan,2020-01,14
0,Singapore,2020-01,13
0,South Korea,2020-01,11
0,Thailand,2020-01,11
0,Taiwan,2020-01,10
0,Malaysia,2020-01,8
0,United States,2020-01,8
0,Australia,2020-01,7
0,France,2020-01,5
0,China,2020-02,41488
0,South Korea,2020-02,3123
0,Italy,2020-02,1082
0,Iran,2020-02,470
0,Japan,2020-02,213
0,France,2020-02,88
0,Germany,2020-02,63
0,United Kingdom,2020-02,53
0,Kuwait,2020-02,45
0,Spain,2020-02,43
0,United States,2020-03,185277
0,Italy,2020-03,90063
0,Spain,2020-03,76664
0,Germany,2020-03,55708
0,France,2020-03,42765
0,United Kingdom,2020-03,38636
0,Iran,2020-03,29949
0,Switzerland,2020-03,14782
0,Turkey,2020-03,13288
0,Netherlands,2020-03,12664
0,United States,2020-04,927073
0,United Kingdom,2020-04,177912
0,Italy,2020-04,129518
0,France,2020-04,119385
0,Spain,2020-04,101385
0,Russia,2020-04,94879
0,Turkey,2020-04,71318
0,Canada,2020-04,54444
0,Brazil,2020-04,51252
0,Germany,2020-04,39509
0,United States,2020-05,1353960
0,Brazil,2020-05,308294
0,United Kingdom,2020-05,256349
0,Russia,2020-05,233960
0,France,2020-05,122502
0,India,2020-05,98757
0,Peru,2020-05,97268
0,Canada,2020-05,92465
0,Spain,2020-05,89103
0,Chile,2020-05,80823
0,United States,2020-06,1921543
0,Brazil,2020-06,613723
0,United Kingdom,2020-06,283846
0,India,2020-06,237569
0,Russia,2020-06,234956
0,France,2020-06,127845
0,Pakistan,2020-06,112668
0,Peru,2020-06,110678
0,Canada,2020-06,106084
0,Spain,2020-06,98895
0,United States,2020-07,3129260
0,Brazil,2020-07,653631
0,India,2020-07,601614
0,United Kingdom,2020-07,303354
0,Russia,2020-07,201244
0,South Africa,2020-07,167012
0,France,2020-07,145475
0,Colombia,2020-07,141121
0,Spain,2020-07,138146
0,Peru,2020-07,123577
0,United States,2020-08,3842070
0,India,2020-08,851284
0,Brazil,2020-08,639681
0,United Kingdom,2020-08,336401
0,Spain,2020-08,312482
0,France,2020-08,234370
0,Peru,2020-08,191709
0,Russia,2020-08,185063
0,Colombia,2020-08,155634
0,Canada,2020-08,130905
0,United States,2020-09,4394685
0,India,2020-09,1039383
0,Spain,2020-09,618812
0,Brazil,2020-09,536161
0,France,2020-09,507261
0,United Kingdom,2020-09,453473
0,Russia,2020-09,216011
0,Canada,2020-09,161094
0,Argentina,2020-09,156356
0,Peru,2020-09,134843
0,United States,2020-10,5553071
0,France,2020-10,1291269
0,Spain,2020-10,1035302
0,United Kingdom,2020-10,1011954
0,India,2020-10,692569
0,Brazil,2020-10,530444
0,Belgium,2020-10,403660
0,Russia,2020-10,397827
0,Italy,2020-10,390004
0,Netherlands,2020-10,351758
0,United States,2020-11,8524013
0,France,2020-11,2108961
0,United Kingdom,2020-11,1630163
0,Spain,2020-11,1497811
0,Italy,2020-11,844047
0,Brazil,2020-11,738076
0,Belgium,2020-11,577345
0,India,2020-11,573224
0,Netherlands,2020-11,524983
0,Russia,2020-11,512443
0,United States,2020-12,20099090
0,United Kingdom,2020-12,2490753
0,France,2020-12,2477524
0,Spain,2020-12,1777889
0,Brazil,2020-12,827129
0,Netherlands,2020-12,798797
0,Belgium,2020-12,646496
0,Italy,2020-12,644055
0,Russia,2020-12,599625
0,Canada,2020-12,584396
0,United States,2021-01,26246328
0,United Kingdom,2021-01,3818531
0,France,2021-01,3025308
0,Spain,2021-01,2592743
0,Brazil,2021-01,1028358
0,Netherlands,2021-01,979165
0,Canada,2021-01,783682
0,Belgium,2021-01,710153
0,Sweden,2021-01,566957
0,Russia,2021-01,543737
0,United States,2021-02,28647027
0,United Kingdom,2021-02,4177184
0,France,2021-02,3553990
0,Spain,2021-02,3038177
0,Brazil,2021-02,1168943
0,Netherlands,2021-02,1089148
0,Canada,2021-02,871681
0,Belgium,2021-02,771511
0,Sweden,2021-02,657309
0,Italy,2021-02,520066
0,United States,2021-03,30460834
0,France,2021-03,4403601
0,United Kingdom,2021-03,4346909
0,Spain,2021-03,3133977
0,Brazil,2021-03,1567376
0,Netherlands,2021-03,1276597
0,Canada,2021-03,988795
0,Belgium,2021-03,882453
0,Sweden,2021-03,804886
0,India,2021-03,746982
0,United States,2021-04,30706126
0,France,2021-04,4576721
0,United Kingdom,2021-04,4360544
0,Spain,2021-04,3150589
0,Brazil,2021-04,1641349
0,Netherlands,2021-04,1307286
0,Canada,2021-04,1008795
0,India,2021-04,906931
0,Belgium,2021-04,900996
0,Sweden,2021-04,813191
